"hauljoin","year","start_longitude","end_longitude","start_latitude","end_latitude","vessel","cruise","haul","btemp","area","sponge","coral","pen","lon","lat","bdepth","slope","speed","tmax","BPI","a_bering_sk","a_mud_sk","a_ak_sk","a_aleut_sk","ej_atf","j_atf","a_atf","a_kam","a_turbo","ej_fhs","j_fhs","a_fhs","j_dover","a_dover","ej_rex","j_rex","a_rex","j_yfs","a_yfs","ej_nrs","j_nrs","a_nrs","a_srs","a_plaice","ej_sable","j_sable","a_sable","a_yil","a_great","a_bigmouth","ej_pcod","j_pcod","a_pcod","ej_poll","j_poll","a_poll","a_atka","a_ssth","a_rebs_sp","a_rougheye","a_blackspot","ej_pop","j_pop","a_pop","a_silvergray","a_darkrf","a_duskyrf","a_yellowtail","a_blackrf","a_northernrf","a_redstripe","a_yelloweye","a_redband","a_harlequin","a_sharpchin","a_shortraker","Zone","Folds"
31435,1991,-165.14167,-165.11717,54.48567,54.46683,83,199101,2,5.2,0.0387136,1,0,0,-718598.740275323,556155.639391129,112.105283737183,1.12584510445595,0.0210212832316756,340.517631530762,5.124675527215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","C"
31438,1991,-165.84833,-165.88633,54.2345,54.23233,83,199101,5,5.09738969802856,0.03497138,0,0,0,-770348.740275323,537905.639391129,66.3589045206706,0.76665077606837,0.00510625789562861,44.967830657959,1.51252722740173,0,0,0,0,0,286,11,0,0,0,64,37,0,0,0,0,0,3,101,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","D"
31439,1991,-165.963,-165.91783,54.2355,54.2385,83,199101,6,4.77008676528931,0.041262738,0,0,0,-774848.740275323,538905.639391129,46.0209636688232,1.79394149780273,0.00458642933517694,53.4298934936523,-12.2729609012604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","M"
31440,1991,-166.01367,-166.05233,54.2265,54.208,83,199101,7,4.93750381469727,0.0463572,1,0,0,-781682.073608657,537738.972724463,59.2296733856201,1.64006759723028,0.00447813048958778,64.8995532989502,-10.3116194804509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","A"
31441,1991,-166.27917,-166.24233,54.09283,54.11467,83,199101,8,4.56497287750244,0.050547204,0,0,0,-798848.740275323,527905.639391129,86.3025754292806,0.287487871944904,0.00367856017934779,144.412256876628,0.625325555602709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","Q"
31442,1991,-166.39317,-166.35767,54.07283,54.096,83,199101,9,4.8,0.05139092,1,1,0,-806148.740275323,527705.639391129,89.3011535644531,0.444264733791351,0.00374880409799516,68.1896102905273,-9.79284934997559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","P"
31443,1991,-166.32133,-166.3185,54.14667,54.17633,83,199101,10,4.00552225112915,0.0502554,0,0,0,-800948.740275323,535505.639391129,166.557168579102,1.99585499763489,0.00348537508398294,58.3796356201172,-30.970703125,0,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","M"
31444,1991,-166.49433,-166.46617,54.0185,53.99933,83,199101,11,4.71173048019409,0.04546225,0,0,0,-814848.740275323,520905.639391129,146.292190551758,1.67184284329414,0.00269909400958568,35.0837097167969,4.18392257392406,0,0,0,0,0,116,101,0,0,0,109,135,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,4193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J","I"
31445,1991,-167.129,-167.107,53.7865,53.77267,83,199101,12,5.4,0.023660829,1,0,0,-860848.740275323,503905.639391129,85.8721904754639,0.982744604349136,0.00561802717857063,5.32030737400055,11.7724778652191,0,0,0,0,0,118,2,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I","C"
31446,1991,-166.96533,-166.92517,53.75967,53.74433,83,199101,13,5.2,0.042960756,1,0,0,-850348.740275323,498405.639391129,72.1413027445475,5.17062040170034,0.00520009834629794,12.719463189443,-27.6792181332906,0,0,0,0,1,33,1,0,0,10,84,29,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I","S"
31447,1991,-166.79283,-166.76583,53.70567,53.6965,83,199101,14,4.4,0.03018208,0,0,0,-840548.740275323,490705.639391129,67.3703979492188,6.46079969406128,0.00496149593964219,11.5744438171387,17.8805423736572,0,0,0,0,0,26,11,0,0,43,821,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I","R"
