"Model","hauljoin","lon","lat","Folds","abund","pred","prob","cvpred","cvprob","error","cverror"
"maxnet",-16709,-85348.7402753278,719505.639391133,"A",1,3.39409995548693,0.786724437132011,2.52076579900385,0.698854379217216,2.39409995548693,1.52076579900385
"maxnet",-14291,-110348.740275328,696005.639391133,"A",0,1.73405262950252,0.545896729416327,1.59516783188682,0.532088013248426,1.73405262950252,1.59516783188682
"maxnet",-19111,-233348.740275328,724505.639391133,"A",0,2.36034254504998,0.65854871860271,2.37856099780587,0.677759216966441,2.36034254504998,2.37856099780587
"maxnet",-14222,-287348.740275328,641505.639391133,"A",0,2.52315188445254,0.682941671675433,2.78427470593775,0.734361925400487,2.52315188445254,2.78427470593775
"maxnet",-18797,-638348.740275327,541505.639391134,"A",0,1.26709116220622,0.438332687217748,1.24613179329039,0.447496537733368,1.26709116220622,1.24613179329039
"maxnet",-14374,-24348.7402753279,875005.639391132,"A",0,1.27283988408859,0.439800713991279,1.15389834901553,0.422693715447696,1.27283988408859,1.15389834901553
"maxnet",-16690,-213348.740275328,749005.639391133,"A",0,3.67401158503904,0.812241836676683,3.47816490853998,0.809096736931072,3.67401158503904,3.47816490853998
"maxnet",-14625,-155348.740275328,595505.639391133,"A",0,1.19705718760028,0.420136460112808,1.02834298956035,0.387131075239774,1.19705718760028,1.02834298956035
"maxnet",-16753,-221348.740275328,664505.639391133,"A",0,0.245554691570766,0.105767279123371,0.218082054394126,0.0986223887928827,0.245554691570766,0.218082054394126
"maxnet",-10763,1071651.25972467,954505.639391132,"A",0,2.65497242209999,0.70140915749047,2.74582059295119,0.729453728946982,2.65497242209999,2.74582059295119
"maxnet",-15037,135651.259724672,757505.639391133,"A",0,1.10831458415619,0.396230179925362,1.47004514758901,0.503366487862104,1.10831458415619,1.47004514758901
"maxnet",-19676,205651.259724672,893005.639391132,"A",0,1.25973966526446,0.436449759790285,1.17846340296766,0.429406364426699,1.25973966526446,1.17846340296766
"maxnet",-17187,313651.259724672,1106005.63939113,"A",0,1.40164758020051,0.471706157653577,1.41551340313423,0.490303498853264,1.40164758020051,1.41551340313423
