"Model","hauljoin","lon","lat","Folds","abund","pred","prob","cvpred","cvprob","error","cverror"
"maxnet",-15143,1313651.25972467,725005.639391133,"A",0,7.63759036073006,0.620016061411507,8.51867498250953,0.641493739901295,7.63759036073006,8.51867498250953
"maxnet",-19020,-144348.740275328,762505.639391133,"A",0,9.02900329275857,0.68142840358988,9.42434150780699,0.678535605845499,9.02900329275857,9.42434150780699
"maxnet",-9915,-675348.740275327,521505.639391134,"A",8,8.28895052650849,0.650114323575964,8.48626212375991,0.640091712729762,0.288950526508492,0.486262123759914
"maxnet",-17171,1139317.92639134,876672.306057799,"A",2,7.63013574556702,0.61965701807767,8.20941918017754,0.627891174202922,5.63013574556702,6.20941918017754
"maxnet",-14896,210651.259724672,1052005.63939113,"A",0,8.44776508796937,0.657083893334827,9.61655448476827,0.68589079243325,8.44776508796937,9.61655448476827
"maxnet",-14869,199651.259724672,980005.639391131,"A",30,9.72238632226221,0.70821981340786,10.560514586443,0.719641226213639,-20.2776136777378,-19.439485413557
"maxnet",-17308,254651.259724672,1099505.63939113,"A",0,5.23203687046856,0.484624971245385,5.66506496800806,0.49448657513366,5.23203687046856,5.66506496800806
"maxnet",-17217,776651.259724671,1048005.63939113,"A",0,5.08541141880373,0.474961701897832,5.8883637761489,0.50789839614025,5.08541141880373,5.8883637761489
"maxnet",-17143,112651.259724672,747505.639391133,"A",0,8.44339790303258,0.656894108756884,9.2070503475382,0.670013170548175,8.44339790303258,9.2070503475382
"maxnet",-19685,75651.259724672,1088005.63939113,"A",0,1.10937504122341,0.131119454188713,0.821586479679808,0.0941979728401232,1.10937504122341,0.821586479679808
"maxnet",-19512,865651.259724671,1074505.63939113,"A",1,6.09887853838494,0.538227470592305,6.55493414332018,0.545854531808167,5.09887853838494,5.55493414332018
"maxnet",-10628,43651.259724672,893005.639391132,"A",3,5.21053590804644,0.483219169046673,5.00916664120432,0.452940743475722,2.21053590804644,2.00916664120432
"maxnet",-14216,-185348.740275328,670005.639391133,"A",17,10.3523281574428,0.730601484159633,11.2099988982641,0.740732601584098,-6.64767184255717,-5.79000110173588
"maxnet",-10660,77651.259724672,1031505.63939113,"A",20,8.55466947596418,0.661697037146839,10.3798064597535,0.71347356945973,-11.4453305240358,-9.62019354024646
"maxnet",-10384,-74348.7402753279,754505.639391133,"A",12,8.52881370571203,0.660587029189159,8.38241696554653,0.635562832247516,-3.47118629428797,-3.61758303445347
